"UniqueKey","UniqueRowId","GlobalRecordId","RECSTATUS","FKEY","Stratificationlevels","Pathogenspp","Ve","Total","Others_Def"
1,7f1fd5a4-9e07-4b2d-a9d9-3c5605a55588,2b6c8940-a7cb-44b3-b143-f0415c07f0bf,1,f0f80d25-bfd1-441e-bc87-6421c77ed324,,Strept. Uberis,26,28,
2,39112550-39f3-4109-b10c-7f7d4b2e0f42,2b6c8940-a7cb-44b3-b143-f0415c07f0bf,1,f0f80d25-bfd1-441e-bc87-6421c77ed324,,E. coli,15,16,
3,195f2b46-efa9-4cd2-a611-5b169703ebd2,2b6c8940-a7cb-44b3-b143-f0415c07f0bf,1,f0f80d25-bfd1-441e-bc87-6421c77ed324,,Aerococcus spp.,12,13,
4,03133ab4-4865-4508-ab2e-fc94620e3038,2b6c8940-a7cb-44b3-b143-f0415c07f0bf,1,f0f80d25-bfd1-441e-bc87-6421c77ed324,,Coagulase-positive staph,11,12,
5,dc18c519-eee5-475e-85d0-3989718e0459,2b6c8940-a7cb-44b3-b143-f0415c07f0bf,1,f0f80d25-bfd1-441e-bc87-6421c77ed324,,Enterococcus spp.,8,8,
6,a06cc34f-3faf-4ffb-9e72-04fb375405fd,2b6c8940-a7cb-44b3-b143-f0415c07f0bf,1,f0f80d25-bfd1-441e-bc87-6421c77ed324,,Bacillus spp.,4,4,
7,b8a2c8f4-6688-4797-b047-5eb198033519,2b6c8940-a7cb-44b3-b143-f0415c07f0bf,1,f0f80d25-bfd1-441e-bc87-6421c77ed324,,Yeast,1,4,
8,f601e784-023b-4167-bbdf-22e2fbaaf9c0,2b6c8940-a7cb-44b3-b143-f0415c07f0bf,1,f0f80d25-bfd1-441e-bc87-6421c77ed324,,Staph. spp (no specification),3,3,
9,76594c3a-227b-4a61-9f87-2cb62bdc9ec6,2b6c8940-a7cb-44b3-b143-f0415c07f0bf,1,f0f80d25-bfd1-441e-bc87-6421c77ed324,,Mucor spp.,2,2,
10,7561b203-7487-487d-9d68-ad669679352b,2b6c8940-a7cb-44b3-b143-f0415c07f0bf,1,f0f80d25-bfd1-441e-bc87-6421c77ed324,,Strept. Dysgalactiae,2,2,
