"UniqueKey","UniqueRowId","GlobalRecordId","RECSTATUS","FKEY","Stratificationlevels","Pathogenspp","Ve","Total","Others_Def"
873,1b5e2109-bfc9-45fb-8974-a15f98dd957e,edcfcb28-6b40-4854-91fb-abd72446ee70,1,56c4c3c1-333a-4a1a-b559-d2231030e91f,,Bacillus spp.,16,531,
874,365c2e02-7dcb-4b52-8840-f45d752a8a03,edcfcb28-6b40-4854-91fb-abd72446ee70,1,56c4c3c1-333a-4a1a-b559-d2231030e91f,,Major Pathogens,90,398,
875,6cd4fe52-ec21-406f-b2be-5d5906322fb0,edcfcb28-6b40-4854-91fb-abd72446ee70,1,56c4c3c1-333a-4a1a-b559-d2231030e91f,,Coagulase-negative staph (CNS),69,469,
876,655b8174-78ba-4e2a-b9e3-bb987cb49e21,edcfcb28-6b40-4854-91fb-abd72446ee70,1,56c4c3c1-333a-4a1a-b559-d2231030e91f,,Corynebacterium spp. (C.bovis),7,358,
877,1614e214-1231-41aa-a037-afec03be61bf,198bc55a-dfeb-4867-82f3-10db87157baa,1,0384e087-a4c8-4fc5-b32a-c114e95b0f58,,Strept. Uberis,17,537,
878,1ebd52ca-71fc-4b33-91b8-c6cd5af7e3bb,198bc55a-dfeb-4867-82f3-10db87157baa,1,0384e087-a4c8-4fc5-b32a-c114e95b0f58,,Coagulase-positive staph,15,534,
879,f8d09a8f-9fde-43c1-8005-44fe5e8f3b9b,198bc55a-dfeb-4867-82f3-10db87157baa,1,0384e087-a4c8-4fc5-b32a-c114e95b0f58,,E. coli,13,555,
880,3d0a89ce-224a-49e6-9196-bbf11af9c9ce,198bc55a-dfeb-4867-82f3-10db87157baa,1,0384e087-a4c8-4fc5-b32a-c114e95b0f58,,Strept. Dysgalactiae,1,560,
881,5b8fc38d-1753-45a4-82cd-7b3158f7257b,198bc55a-dfeb-4867-82f3-10db87157baa,1,0384e087-a4c8-4fc5-b32a-c114e95b0f58,,Coliforms,2,541,
882,d47b5048-42b4-4519-8450-e835eb191f6a,198bc55a-dfeb-4867-82f3-10db87157baa,1,0384e087-a4c8-4fc5-b32a-c114e95b0f58,,Pseudomonas spp.,0,561,
883,7425c9bf-3271-4765-9897-054c23b94124,198bc55a-dfeb-4867-82f3-10db87157baa,1,0384e087-a4c8-4fc5-b32a-c114e95b0f58,,Yeast,1,566,
884,1fe7e71a-c0d8-40c6-a54f-0bf735289fbf,198bc55a-dfeb-4867-82f3-10db87157baa,1,0384e087-a4c8-4fc5-b32a-c114e95b0f58,,Bacillus spp.,20,525,
885,4140f6e3-fcf3-4ff3-8030-2790f0a9d737,198bc55a-dfeb-4867-82f3-10db87157baa,1,0384e087-a4c8-4fc5-b32a-c114e95b0f58,,Major Pathogens,90,380,
886,a6ca24bb-5a58-4279-b693-81a72c237b47,198bc55a-dfeb-4867-82f3-10db87157baa,1,0384e087-a4c8-4fc5-b32a-c114e95b0f58,,Coagulase-negative staph (CNS),61,456,
887,cb09571a-42b2-4586-a1c2-319bfd74dec6,198bc55a-dfeb-4867-82f3-10db87157baa,1,0384e087-a4c8-4fc5-b32a-c114e95b0f58,,Corynebacterium spp. (C.bovis),3,354,
888,a1646bf3-53d8-4cc0-ac6c-7af74b8c3494,7ad0c886-9555-496a-9a3a-4cbdb7dbc5c7,1,6100e4ce-8203-4be3-974f-b1976ce51fa0,,S.aureus,3,28,
889,a171fd70-ca38-40f5-ab18-c763e220be21,7ad0c886-9555-496a-9a3a-4cbdb7dbc5c7,1,6100e4ce-8203-4be3-974f-b1976ce51fa0,,Strept. Dysgalactiae,3,28,
