"UniqueKey","UniqueRowId","GlobalRecordId","RECSTATUS","FKEY","Stratificationlevels","Pathogenspp","Ve","Total","Other_def"
719,0edccc8d-7258-4df1-b87f-bb32e0243c17,94e74d22-865e-4007-9684-08e2d066389d,1,12d6fd17-295c-48cb-9a27-6475236f708e,,Corynebacterium spp. (C.bovis),77,596,
720,125db0e8-c368-4c05-a86d-e49dbec9f514,94e74d22-865e-4007-9684-08e2d066389d,1,12d6fd17-295c-48cb-9a27-6475236f708e,,Minor Pathogens,143,596,All minor pathogens
721,ff23e4bb-1271-4c5d-be94-b62f5cc0ebb7,cb4786e8-bc68-432e-a399-29e08b09f6ed,1,0c004583-70b0-4757-a65f-8965ef4523a0,,Strept. Uberis,11,584,
722,5fe80f79-6eb6-4beb-ab6f-f63b51a848c7,cb4786e8-bc68-432e-a399-29e08b09f6ed,1,0c004583-70b0-4757-a65f-8965ef4523a0,,Strept. Dysgalactiae,1,584,
723,90e02960-a797-4d21-84bb-8683af6dff6f,cb4786e8-bc68-432e-a399-29e08b09f6ed,1,0c004583-70b0-4757-a65f-8965ef4523a0,,Coagulase-positive staph,2,584,
724,2c1b7ae2-9b73-4da5-a22e-d73543388035,cb4786e8-bc68-432e-a399-29e08b09f6ed,1,0c004583-70b0-4757-a65f-8965ef4523a0,,E. coli,20,584,
725,9e619e9c-4d93-43d3-89bf-1c4a2c2d5c45,cb4786e8-bc68-432e-a399-29e08b09f6ed,1,0c004583-70b0-4757-a65f-8965ef4523a0,,Enterobacteriaceae (non-e-coli),0,584,
726,bd9c17dc-9dc6-4cc4-bf08-66f218759f1c,cb4786e8-bc68-432e-a399-29e08b09f6ed,1,0c004583-70b0-4757-a65f-8965ef4523a0,,Aerococcus spp.,10,584,
727,5210b420-a24e-4def-a341-764517ec0fb0,cb4786e8-bc68-432e-a399-29e08b09f6ed,1,0c004583-70b0-4757-a65f-8965ef4523a0,,Arcanobacterium pyogenes,1,584,
728,5b504512-bebb-4f42-84a4-9b5eea5511ed,cb4786e8-bc68-432e-a399-29e08b09f6ed,1,0c004583-70b0-4757-a65f-8965ef4523a0,,Others,20,584,
729,f6868b1a-470c-4934-8afe-1061e37c0a36,cb4786e8-bc68-432e-a399-29e08b09f6ed,1,0c004583-70b0-4757-a65f-8965ef4523a0,,Enterobacteriaceae (no specification),20,584,
730,f5796f06-addd-4aaf-b566-593a2a6c2d33,cb4786e8-bc68-432e-a399-29e08b09f6ed,1,0c004583-70b0-4757-a65f-8965ef4523a0,,Major Pathogens,64,584,
731,4cfe4ffb-d073-48b2-af00-7dafe8c17277,cb4786e8-bc68-432e-a399-29e08b09f6ed,1,0c004583-70b0-4757-a65f-8965ef4523a0,,Coagulase-negative staph (CNS),133,584,
732,1e72923e-f00f-4f48-95ca-4c23599f66a2,cb4786e8-bc68-432e-a399-29e08b09f6ed,1,0c004583-70b0-4757-a65f-8965ef4523a0,,Corynebacterium spp. (C.bovis),72,584,
733,ced1921a-79b4-4c95-a7a0-b3bd5cbd5a2f,cb4786e8-bc68-432e-a399-29e08b09f6ed,1,0c004583-70b0-4757-a65f-8965ef4523a0,,Minor Pathogens,150,584,
734,354582a6-0635-435d-b000-b7e6e8c23d21,15e553f2-9662-4243-89ff-574fb1ff2078,1,c4857771-d883-4d0e-bddd-222c2dd717a5,,Strept. Uberis,13,616,
735,79880fd5-77ed-4b0f-95dd-43fe14fd8cd2,15e553f2-9662-4243-89ff-574fb1ff2078,1,c4857771-d883-4d0e-bddd-222c2dd717a5,,Strept. Dysgalactiae,0,616,
736,e8c83b99-c363-424a-8e15-70822ca7a4eb,15e553f2-9662-4243-89ff-574fb1ff2078,1,c4857771-d883-4d0e-bddd-222c2dd717a5,,Coagulase-positive staph,2,616,
737,98e990aa-880a-4728-9cb2-9be9376b83b8,15e553f2-9662-4243-89ff-574fb1ff2078,1,c4857771-d883-4d0e-bddd-222c2dd717a5,,E. coli,14,616,
738,ae45dfa1-fec8-4c88-b0d0-b004768f7652,15e553f2-9662-4243-89ff-574fb1ff2078,1,c4857771-d883-4d0e-bddd-222c2dd717a5,,Enterobacteriaceae (non-e-coli),3,616,
739,97e0c6ec-1b2a-4d8c-8456-015099c9e026,15e553f2-9662-4243-89ff-574fb1ff2078,1,c4857771-d883-4d0e-bddd-222c2dd717a5,,Aerococcus spp.,6,616,
740,af57492c-d243-47f0-9228-24e15ca7a027,15e553f2-9662-4243-89ff-574fb1ff2078,1,c4857771-d883-4d0e-bddd-222c2dd717a5,,Arcanobacterium pyogenes,1,616,
741,24736b56-d8f8-42ec-8d80-da794bb59827,15e553f2-9662-4243-89ff-574fb1ff2078,1,c4857771-d883-4d0e-bddd-222c2dd717a5,,Others,16,616,
742,06e0e697-8169-4252-b651-e399b603b714,15e553f2-9662-4243-89ff-574fb1ff2078,1,c4857771-d883-4d0e-bddd-222c2dd717a5,,Enterobacteriaceae (no specification),17,616,
743,a34d277c-111e-4780-920f-6e350c49dd91,15e553f2-9662-4243-89ff-574fb1ff2078,1,c4857771-d883-4d0e-bddd-222c2dd717a5,,Major Pathogens,52,616,
744,7748260f-5d01-4daf-b17d-e31238be40a3,15e553f2-9662-4243-89ff-574fb1ff2078,1,c4857771-d883-4d0e-bddd-222c2dd717a5,,Coagulase-negative staph (CNS),113,616,
745,2ba2d7ea-0a26-4a24-b513-54289ca10c08,15e553f2-9662-4243-89ff-574fb1ff2078,1,c4857771-d883-4d0e-bddd-222c2dd717a5,,Corynebacterium spp. (C.bovis),56,616,
746,1ef7835d-12be-4c73-8dbf-5ad234f6731b,15e553f2-9662-4243-89ff-574fb1ff2078,1,c4857771-d883-4d0e-bddd-222c2dd717a5,,Minor Pathogens,135,616,
748,dffe7153-58ad-428c-9833-4ab904dcda6e,45a967fd-26c7-40cd-8827-d5dea2f07cf4,1,c6401e15-0ba1-4b65-9909-5bf75010ed76,,Non-pathogen specific,5,60,
749,c141a1bd-da48-40c8-8414-2c0e45ec3f20,c9381dc2-19a9-4220-aee3-a36b7f8346fe,1,7efceefc-4569-4d3c-8145-f18edc2084a9,,Strept. Uberis,25,566,
750,e30dd030-41e0-476a-a002-76608adbd531,c9381dc2-19a9-4220-aee3-a36b7f8346fe,1,7efceefc-4569-4d3c-8145-f18edc2084a9,,Coagulase-positive staph,15,566,
751,c7c334f4-97d7-4019-a1c0-cb99b46541d6,c9381dc2-19a9-4220-aee3-a36b7f8346fe,1,7efceefc-4569-4d3c-8145-f18edc2084a9,,E. coli,19,566,
752,b313cae0-a631-4a0d-a717-641b2eb397e7,c9381dc2-19a9-4220-aee3-a36b7f8346fe,1,7efceefc-4569-4d3c-8145-f18edc2084a9,,Strept. Dysgalactiae,1,566,
753,46da34f9-e54b-4dc1-9407-8ee8b1eb4765,c9381dc2-19a9-4220-aee3-a36b7f8346fe,1,7efceefc-4569-4d3c-8145-f18edc2084a9,,Coliforms,4,566,other coliforms
754,1c0e00ff-d135-41c6-a6e3-9c126e99fc61,c9381dc2-19a9-4220-aee3-a36b7f8346fe,1,7efceefc-4569-4d3c-8145-f18edc2084a9,,Pseudomonas spp.,1,566,
755,cc43aa77-490b-4f67-82df-a2a9cc33a8f1,c9381dc2-19a9-4220-aee3-a36b7f8346fe,1,7efceefc-4569-4d3c-8145-f18edc2084a9,,Yeast,2,566,
756,332c25ae-69b2-48d6-93d4-91ee719d4e8e,c9381dc2-19a9-4220-aee3-a36b7f8346fe,1,7efceefc-4569-4d3c-8145-f18edc2084a9,,Bacillus spp.,19,566,
757,9308ef18-7d80-48dc-9410-ee1e88592019,c9381dc2-19a9-4220-aee3-a36b7f8346fe,1,7efceefc-4569-4d3c-8145-f18edc2084a9,,Major Pathogens,99,566,
758,766bdae4-970a-4878-9c35-6cf66715cd11,c9381dc2-19a9-4220-aee3-a36b7f8346fe,1,7efceefc-4569-4d3c-8145-f18edc2084a9,,Coagulase-negative staph (CNS),91,566,
759,b10bdf45-5f35-4c7a-893e-d3c67d9e7e21,c9381dc2-19a9-4220-aee3-a36b7f8346fe,1,7efceefc-4569-4d3c-8145-f18edc2084a9,,Corynebacterium spp. (C.bovis),20,566,
760,7bd3b407-e1f5-4298-b2dd-74bae0a5dacb,9bd1968f-97f4-44e4-993c-560b9dca5142,1,a3f2dd49-8d06-4799-a1c6-95993f00926b,,Strept. Uberis,19,566,
761,fe72b2c6-44b0-40f2-be6f-381e25050e24,9bd1968f-97f4-44e4-993c-560b9dca5142,1,a3f2dd49-8d06-4799-a1c6-95993f00926b,,Coagulase-positive staph,18,566,
762,d24aab26-f800-4367-b7df-90af3c1c0502,9bd1968f-97f4-44e4-993c-560b9dca5142,1,a3f2dd49-8d06-4799-a1c6-95993f00926b,,E. coli,14,566,
763,ced881ba-6090-4e4a-8e7a-bd2c7427aae3,9bd1968f-97f4-44e4-993c-560b9dca5142,1,a3f2dd49-8d06-4799-a1c6-95993f00926b,,Strept. Dysgalactiae,1,566,
764,8173a57b-9967-48be-b3cd-fc626486d061,9bd1968f-97f4-44e4-993c-560b9dca5142,1,a3f2dd49-8d06-4799-a1c6-95993f00926b,,Coliforms,2,566,
765,cc6eb59e-ec28-4814-8306-efd418f01e42,9bd1968f-97f4-44e4-993c-560b9dca5142,1,a3f2dd49-8d06-4799-a1c6-95993f00926b,,Pseudomonas spp.,0,566,
766,9f2fbb53-8ea4-49c5-b3a1-0248635d8d89,9bd1968f-97f4-44e4-993c-560b9dca5142,1,a3f2dd49-8d06-4799-a1c6-95993f00926b,,Yeast,1,566,
767,37359de7-ed2e-4c06-8a3b-2f4fb41a5f31,9bd1968f-97f4-44e4-993c-560b9dca5142,1,a3f2dd49-8d06-4799-a1c6-95993f00926b,,Bacillus spp.,22,566,
768,c402ed32-652b-40bf-8123-b6f23f4f4771,9bd1968f-97f4-44e4-993c-560b9dca5142,1,a3f2dd49-8d06-4799-a1c6-95993f00926b,,Major Pathogens,98,566,
769,5d3ef4c1-c25b-46ff-b8d5-8a97ee56ed85,9bd1968f-97f4-44e4-993c-560b9dca5142,1,a3f2dd49-8d06-4799-a1c6-95993f00926b,,Coagulase-negative staph (CNS),77,566,
770,fd4898a1-f74e-4bf4-84e8-d0499afcfb14,9bd1968f-97f4-44e4-993c-560b9dca5142,1,a3f2dd49-8d06-4799-a1c6-95993f00926b,,Corynebacterium spp. (C.bovis),10,566,
771,cc05f485-a88e-4316-822a-e32acf16eb0e,8920590f-9c83-453f-9921-a612682311d9,1,c347327b-f6e9-432b-9914-dc1f45bbcb01,,Corynebacterium spp. (C.bovis),24,259,
772,ab613e3d-1b7b-4a8d-9e9d-7b7ba7d2c7d3,8920590f-9c83-453f-9921-a612682311d9,1,c347327b-f6e9-432b-9914-dc1f45bbcb01,,Coagulase-negative staph (CNS),34,259,
773,1d796ccd-9216-4b81-a17f-4a5b7aecd7a8,8920590f-9c83-453f-9921-a612682311d9,1,c347327b-f6e9-432b-9914-dc1f45bbcb01,,Strept.spp (no specification),3,259,Esculin-positive streptococci
774,bbf54c09-736f-4164-a325-937cabf90c36,8920590f-9c83-453f-9921-a612682311d9,1,c347327b-f6e9-432b-9914-dc1f45bbcb01,,S.aureus,4,259,
775,8ab25a58-b280-4d53-8be6-114e7fc12e26,8920590f-9c83-453f-9921-a612682311d9,1,c347327b-f6e9-432b-9914-dc1f45bbcb01,,Strept. Dysgalactiae,0,259,
776,5201b8f2-78ea-47e4-80f6-c6586e170c87,8920590f-9c83-453f-9921-a612682311d9,1,c347327b-f6e9-432b-9914-dc1f45bbcb01,,Strept. Agalactiae,0,259,
777,9dbeaa8a-b360-429e-aa06-1cbb4bbc450f,8920590f-9c83-453f-9921-a612682311d9,1,c347327b-f6e9-432b-9914-dc1f45bbcb01,,E. coli,7,259,
778,c8650bbb-fe62-4e23-b693-616df1304dea,8920590f-9c83-453f-9921-a612682311d9,1,c347327b-f6e9-432b-9914-dc1f45bbcb01,,Others,8,259,"Other pathogens (Proteus spp., Bacillus spp. etc.)"
779,23809725-765a-4bbb-a44b-bbbb0bf2900a,6960d8e5-1c5f-4266-b9da-baaabcdbe937,1,4852b5e0-989c-4610-b525-48110b7a057f,,Corynebacterium spp. (C.bovis),14,259,
780,aea25e9f-e979-42c1-85af-25d1a0858cc2,6960d8e5-1c5f-4266-b9da-baaabcdbe937,1,4852b5e0-989c-4610-b525-48110b7a057f,,Coagulase-negative staph (CNS),25,259,
781,4c6bd5d8-f0af-4d0d-9920-ca3e8eeea839,6960d8e5-1c5f-4266-b9da-baaabcdbe937,1,4852b5e0-989c-4610-b525-48110b7a057f,,Strept.spp (no specification),5,259,
782,2a7a5eee-35a7-4f65-b710-5c82055788aa,6960d8e5-1c5f-4266-b9da-baaabcdbe937,1,4852b5e0-989c-4610-b525-48110b7a057f,,S.aureus,0,259,
783,cf8f886d-1adf-4076-9341-504ffbbf728b,6960d8e5-1c5f-4266-b9da-baaabcdbe937,1,4852b5e0-989c-4610-b525-48110b7a057f,,Strept. Dysgalactiae,0,259,
784,b5ce1376-8384-444a-8981-6b36026bf715,6960d8e5-1c5f-4266-b9da-baaabcdbe937,1,4852b5e0-989c-4610-b525-48110b7a057f,,Strept. Agalactiae,0,259,
785,03d55c94-4157-4cf0-95d5-97a8884e1b13,6960d8e5-1c5f-4266-b9da-baaabcdbe937,1,4852b5e0-989c-4610-b525-48110b7a057f,,E. coli,3,259,
786,c33b502b-4c2f-46ef-9eab-65ffdc7934ef,6960d8e5-1c5f-4266-b9da-baaabcdbe937,1,4852b5e0-989c-4610-b525-48110b7a057f,,Others,7,259,
803,60ab91f2-90f8-48cc-8d7b-f5a9c8aaead7,035b6a6d-5ce8-49be-b5f6-efd7cf17b641,1,bdddcbdc-a194-469c-beae-8721397d7f98,,S.aureus,21,812,
804,112ecf11-4f3c-475c-b437-5611ae47fb8c,035b6a6d-5ce8-49be-b5f6-efd7cf17b641,1,bdddcbdc-a194-469c-beae-8721397d7f98,,Strept. Agalactiae,1,812,
805,48e9d015-7393-4c74-966c-ea700902910a,035b6a6d-5ce8-49be-b5f6-efd7cf17b641,1,bdddcbdc-a194-469c-beae-8721397d7f98,,Strept. Dysgalactiae,8,812,
806,3a68ed64-895b-4304-822c-04baba16d810,035b6a6d-5ce8-49be-b5f6-efd7cf17b641,1,bdddcbdc-a194-469c-beae-8721397d7f98,,Strept. Uberis,19,812,
807,814aa897-b502-4d2b-be57-94735a660fea,035b6a6d-5ce8-49be-b5f6-efd7cf17b641,1,bdddcbdc-a194-469c-beae-8721397d7f98,,Enterococcus spp.,47,812,
808,726912f1-9eb5-434f-95de-87bebf5575d4,035b6a6d-5ce8-49be-b5f6-efd7cf17b641,1,bdddcbdc-a194-469c-beae-8721397d7f98,,Strept. Bovis,9,812,
809,b9d7b0ce-6b85-4ebe-a0cf-a841f9cc4a2e,035b6a6d-5ce8-49be-b5f6-efd7cf17b641,1,bdddcbdc-a194-469c-beae-8721397d7f98,,E. coli,12,812,
810,07cef525-2dfc-4f05-ba62-9812033f4494,035b6a6d-5ce8-49be-b5f6-efd7cf17b641,1,bdddcbdc-a194-469c-beae-8721397d7f98,,Klebsiella spp.,27,812,
811,dad95300-4524-4479-b75b-3d4c878cb252,035b6a6d-5ce8-49be-b5f6-efd7cf17b641,1,bdddcbdc-a194-469c-beae-8721397d7f98,,Enterobacter spp,31,812,
812,deaf42d3-9685-4ab5-9a7f-b2ec83244ed0,035b6a6d-5ce8-49be-b5f6-efd7cf17b641,1,bdddcbdc-a194-469c-beae-8721397d7f98,,Proteus spp.,2,812,
813,557e539f-6529-4535-a028-99f6e28674ea,035b6a6d-5ce8-49be-b5f6-efd7cf17b641,1,bdddcbdc-a194-469c-beae-8721397d7f98,,Citrobacter spp.,0,812,
814,20bcdd60-d2b8-4af3-a775-894094fd67eb,035b6a6d-5ce8-49be-b5f6-efd7cf17b641,1,bdddcbdc-a194-469c-beae-8721397d7f98,,Pseudomonas spp.,4,812,
815,1b12c87c-f4b3-44d5-b744-2391f298bb7b,035b6a6d-5ce8-49be-b5f6-efd7cf17b641,1,bdddcbdc-a194-469c-beae-8721397d7f98,,Yeast,4,812,
816,673b3301-a354-4b1f-9fde-e04a3fd40274,035b6a6d-5ce8-49be-b5f6-efd7cf17b641,1,bdddcbdc-a194-469c-beae-8721397d7f98,,Bacillus spp.,3,812,
817,48baef9e-8ec4-4d35-a596-cd7dacf9ed67,035b6a6d-5ce8-49be-b5f6-efd7cf17b641,1,bdddcbdc-a194-469c-beae-8721397d7f98,,Coagulase-negative staph (CNS),85,812,
818,851c69f1-6dcf-4c2b-b018-fe039f7ac455,035b6a6d-5ce8-49be-b5f6-efd7cf17b641,1,bdddcbdc-a194-469c-beae-8721397d7f98,,Corynebacterium spp. (C.bovis),2,812,
819,bd6d469c-abe6-44e0-b597-0db30f560b53,08a91ea9-9c19-4e30-a8a4-749b8dd0d95d,1,ebba87a2-a402-40f2-9843-35899e5107a8,,S.aureus,16,811,
820,159014b5-0d9d-4d2a-a527-ae9120d93f1e,08a91ea9-9c19-4e30-a8a4-749b8dd0d95d,1,ebba87a2-a402-40f2-9843-35899e5107a8,,Strept. Agalactiae,0,811,
821,1c95cdbf-065e-4b8b-8729-1763b88f349b,08a91ea9-9c19-4e30-a8a4-749b8dd0d95d,1,ebba87a2-a402-40f2-9843-35899e5107a8,,Strept. Dysgalactiae,7,811,
822,d1712e91-d871-4c8c-828e-967140eeca2c,08a91ea9-9c19-4e30-a8a4-749b8dd0d95d,1,ebba87a2-a402-40f2-9843-35899e5107a8,,Strept. Uberis,44,811,
823,7f1375c0-c99b-4a1d-90e9-5e0149c508c9,08a91ea9-9c19-4e30-a8a4-749b8dd0d95d,1,ebba87a2-a402-40f2-9843-35899e5107a8,,Enterococcus spp.,27,811,
824,4827d64d-6b0a-420b-9af3-4affecaf2535,08a91ea9-9c19-4e30-a8a4-749b8dd0d95d,1,ebba87a2-a402-40f2-9843-35899e5107a8,,Strept. Bovis,10,811,
825,62977f19-d43a-464e-bf2f-714b8d2ca58f,08a91ea9-9c19-4e30-a8a4-749b8dd0d95d,1,ebba87a2-a402-40f2-9843-35899e5107a8,,E. coli,14,811,
826,42ecda9b-c10a-4cd0-9f28-e2c3da94c238,08a91ea9-9c19-4e30-a8a4-749b8dd0d95d,1,ebba87a2-a402-40f2-9843-35899e5107a8,,Klebsiella spp.,13,811,
827,55a8bf4d-b939-4787-a0ca-89affdac7db1,08a91ea9-9c19-4e30-a8a4-749b8dd0d95d,1,ebba87a2-a402-40f2-9843-35899e5107a8,,Enterobacter spp,25,811,
828,cba6c298-0f15-4f97-ba7b-f1d741c59d4b,08a91ea9-9c19-4e30-a8a4-749b8dd0d95d,1,ebba87a2-a402-40f2-9843-35899e5107a8,,Proteus spp.,4,811,
829,9b10bba5-5b86-4278-859c-5ec8044dfb3a,08a91ea9-9c19-4e30-a8a4-749b8dd0d95d,1,ebba87a2-a402-40f2-9843-35899e5107a8,,Citrobacter spp.,0,811,
830,037a683d-45e1-4287-b5f3-8582f069c1e6,08a91ea9-9c19-4e30-a8a4-749b8dd0d95d,1,ebba87a2-a402-40f2-9843-35899e5107a8,,Pseudomonas spp.,1,811,
831,99e73741-6b50-4d80-9e95-8ff732e2b458,08a91ea9-9c19-4e30-a8a4-749b8dd0d95d,1,ebba87a2-a402-40f2-9843-35899e5107a8,,Yeast,5,811,
832,88ba6cff-36e6-472e-b679-9ae7d0c47651,08a91ea9-9c19-4e30-a8a4-749b8dd0d95d,1,ebba87a2-a402-40f2-9843-35899e5107a8,,Bacillus spp.,2,811,
833,e4c90f3c-6a20-472f-9b05-d779aa092420,08a91ea9-9c19-4e30-a8a4-749b8dd0d95d,1,ebba87a2-a402-40f2-9843-35899e5107a8,,Coagulase-negative staph (CNS),72,811,
834,67bbcbeb-22a3-4c50-972b-756a35e4d5e2,08a91ea9-9c19-4e30-a8a4-749b8dd0d95d,1,ebba87a2-a402-40f2-9843-35899e5107a8,,Corynebacterium spp. (C.bovis),0,811,
851,b1873497-14ce-4fa3-88b3-bd095d9eb411,17272783-f6ce-4b8c-a840-d2f7a5ddc6e2,1,3abecd22-cf76-42e9-8032-535cabf1c21a,,S.aureus,15,821,
852,c1f7f319-2fe1-4885-af4b-4cba34e0320a,17272783-f6ce-4b8c-a840-d2f7a5ddc6e2,1,3abecd22-cf76-42e9-8032-535cabf1c21a,,Strept. Agalactiae,0,821,
853,9b3cf501-7ea1-42b6-9031-31d4c953febd,17272783-f6ce-4b8c-a840-d2f7a5ddc6e2,1,3abecd22-cf76-42e9-8032-535cabf1c21a,,Strept. Dysgalactiae,2,821,
854,079f34e5-1991-4bc7-afb2-5a6eb351987b,17272783-f6ce-4b8c-a840-d2f7a5ddc6e2,1,3abecd22-cf76-42e9-8032-535cabf1c21a,,Strept. Uberis,36,821,
855,34906498-1a3c-471a-96a6-501e7e9ddb3c,17272783-f6ce-4b8c-a840-d2f7a5ddc6e2,1,3abecd22-cf76-42e9-8032-535cabf1c21a,,Enterococcus spp.,22,821,
856,f2f84423-b7d5-4219-bdcf-4d454a00cc16,17272783-f6ce-4b8c-a840-d2f7a5ddc6e2,1,3abecd22-cf76-42e9-8032-535cabf1c21a,,Strept. Bovis,2,821,
857,c0792f6a-1a5c-4a3c-a40e-482a84eec2dc,17272783-f6ce-4b8c-a840-d2f7a5ddc6e2,1,3abecd22-cf76-42e9-8032-535cabf1c21a,,E. coli,14,821,
858,f624cc9d-d5a3-4f74-8705-3c4af37a049a,17272783-f6ce-4b8c-a840-d2f7a5ddc6e2,1,3abecd22-cf76-42e9-8032-535cabf1c21a,,Klebsiella spp.,21,821,
859,87eaa036-ac08-4132-86bc-fd13898080d3,17272783-f6ce-4b8c-a840-d2f7a5ddc6e2,1,3abecd22-cf76-42e9-8032-535cabf1c21a,,Enterobacter spp,30,821,
860,a347f907-a116-4b06-b5e1-7ae8d90c906d,17272783-f6ce-4b8c-a840-d2f7a5ddc6e2,1,3abecd22-cf76-42e9-8032-535cabf1c21a,,Proteus spp.,2,821,
861,ec1245ca-03dc-480d-a380-18ee50a31e94,17272783-f6ce-4b8c-a840-d2f7a5ddc6e2,1,3abecd22-cf76-42e9-8032-535cabf1c21a,,Citrobacter spp.,0,821,
862,e870d61d-941c-446b-8df9-20b82d65d662,17272783-f6ce-4b8c-a840-d2f7a5ddc6e2,1,3abecd22-cf76-42e9-8032-535cabf1c21a,,Pseudomonas spp.,2,821,
863,74520e2e-bc91-4db2-b097-f6b5e37938ed,17272783-f6ce-4b8c-a840-d2f7a5ddc6e2,1,3abecd22-cf76-42e9-8032-535cabf1c21a,,Yeast,7,821,
864,e1fe3f31-2247-45b7-951f-1a71c5cb921a,17272783-f6ce-4b8c-a840-d2f7a5ddc6e2,1,3abecd22-cf76-42e9-8032-535cabf1c21a,,Bacillus spp.,3,821,
865,36f5e31d-00fe-4efb-a528-c7764e6b0ac1,17272783-f6ce-4b8c-a840-d2f7a5ddc6e2,1,3abecd22-cf76-42e9-8032-535cabf1c21a,,Coagulase-negative staph (CNS),66,821,
866,9f4ede54-f5ab-439d-a1dd-bddafbe36622,17272783-f6ce-4b8c-a840-d2f7a5ddc6e2,1,3abecd22-cf76-42e9-8032-535cabf1c21a,,Corynebacterium spp. (C.bovis),5,821,
867,f782adb4-24de-437d-be26-a66e806743b0,c7cba1f4-7ed1-41b7-9032-0624c239a673,1,73a7c0be-bdf4-4fb6-846b-06ee17712331,,S.aureus,11,809,
868,ab5f7e6d-baa2-4234-9961-85f601fcb823,c7cba1f4-7ed1-41b7-9032-0624c239a673,1,73a7c0be-bdf4-4fb6-846b-06ee17712331,,Strept. Agalactiae,0,809,
869,ce52f0a2-010d-47b1-b153-9781544af52c,c7cba1f4-7ed1-41b7-9032-0624c239a673,1,73a7c0be-bdf4-4fb6-846b-06ee17712331,,Strept. Dysgalactiae,1,809,
870,af543e48-a8fb-476e-8d22-6d1a487b95e9,c7cba1f4-7ed1-41b7-9032-0624c239a673,1,73a7c0be-bdf4-4fb6-846b-06ee17712331,,Strept. Uberis,35,809,
871,ab280649-8845-465d-b8a1-877eead29476,c7cba1f4-7ed1-41b7-9032-0624c239a673,1,73a7c0be-bdf4-4fb6-846b-06ee17712331,,Enterococcus spp.,27,809,
872,89b31246-d6f6-4bf4-bf3c-2259dc6fd37e,c7cba1f4-7ed1-41b7-9032-0624c239a673,1,73a7c0be-bdf4-4fb6-846b-06ee17712331,,Strept. Bovis,5,809,
873,78605724-235e-4302-ac6b-a427bc2f2d00,c7cba1f4-7ed1-41b7-9032-0624c239a673,1,73a7c0be-bdf4-4fb6-846b-06ee17712331,,E. coli,10,809,
874,bae21234-dbe0-4292-adce-3c0760226456,c7cba1f4-7ed1-41b7-9032-0624c239a673,1,73a7c0be-bdf4-4fb6-846b-06ee17712331,,Klebsiella spp.,17,809,
875,c7e59955-9f89-486e-b068-7ca8ae1a449f,c7cba1f4-7ed1-41b7-9032-0624c239a673,1,73a7c0be-bdf4-4fb6-846b-06ee17712331,,Enterobacter spp,29,809,
876,decb0161-dfa7-4563-adf2-5cdf783ca232,c7cba1f4-7ed1-41b7-9032-0624c239a673,1,73a7c0be-bdf4-4fb6-846b-06ee17712331,,Proteus spp.,2,809,
877,e9f89d49-bbe3-4052-a832-1e7e7e6d6ca8,c7cba1f4-7ed1-41b7-9032-0624c239a673,1,73a7c0be-bdf4-4fb6-846b-06ee17712331,,Citrobacter spp.,0,809,
