"UniqueKey","UniqueRowId","GlobalRecordId","RECSTATUS","FKEY","Stratificationlevels","Pathogenspp","Ve","Total","Other_def"
708,7f4b5923-b996-4e82-ac62-2c0a940098c1,94e74d22-865e-4007-9684-08e2d066389d,1,12d6fd17-295c-48cb-9a27-6475236f708e,,Strept. Uberis,28,596,
709,a1b4b023-e55b-4945-8402-c2d34b85f081,94e74d22-865e-4007-9684-08e2d066389d,1,12d6fd17-295c-48cb-9a27-6475236f708e,,Strept. Dysgalactiae,3,596,
710,7fee0edb-29d5-41a8-965b-6b36f598af31,94e74d22-865e-4007-9684-08e2d066389d,1,12d6fd17-295c-48cb-9a27-6475236f708e,,Coagulase-positive staph,4,596,
711,625dcd32-421f-42cf-9fed-cc38daa02648,94e74d22-865e-4007-9684-08e2d066389d,1,12d6fd17-295c-48cb-9a27-6475236f708e,,E. coli,34,596,
712,2ec97858-1c24-4034-9dbf-b517b0b61438,94e74d22-865e-4007-9684-08e2d066389d,1,12d6fd17-295c-48cb-9a27-6475236f708e,,Enterobacteriaceae (non-e-coli),3,596,Other enterobacteriaceae
713,9594d2ce-42b6-4523-92de-724cb1d94937,94e74d22-865e-4007-9684-08e2d066389d,1,12d6fd17-295c-48cb-9a27-6475236f708e,,Aerococcus spp.,15,596,
714,f9a0553f-7a3a-4542-a656-52c93c0c6cb1,94e74d22-865e-4007-9684-08e2d066389d,1,12d6fd17-295c-48cb-9a27-6475236f708e,,Arcanobacterium pyogenes,5,596,
715,ec73f5b9-e011-46f7-b092-831df137887f,94e74d22-865e-4007-9684-08e2d066389d,1,12d6fd17-295c-48cb-9a27-6475236f708e,,Others,13,596,Other major pathogens
716,1c8f413c-3b27-4284-9805-b3433d91641f,94e74d22-865e-4007-9684-08e2d066389d,1,12d6fd17-295c-48cb-9a27-6475236f708e,,Enterobacteriaceae (no specification),37,596,All enterobacteriaceae
717,8ee37c30-48a8-41b7-89cd-613be3ed451a,94e74d22-865e-4007-9684-08e2d066389d,1,12d6fd17-295c-48cb-9a27-6475236f708e,,Major Pathogens,96,596,All major pathogens
718,5313e3bf-617c-4a44-9dea-e0914bcf6c63,94e74d22-865e-4007-9684-08e2d066389d,1,12d6fd17-295c-48cb-9a27-6475236f708e,,Coagulase-negative staph (CNS),141,596,
